country;ISO3;region;african_union;arab_states;BRICS;EU;G20;OECD;CPI_score_2017;standard_error_2017;lower_CI_2017;upper_CI_2017;number_sources_2017;CPI_score_2012;standard_error_2012;number_sources_2012;CPI_score_2013;standard_error_2013;number_sources_2013;CPI_score_2014;standard_error_2014;number_sources_2014;CPI_score_2015;standard_error_2015;number_sources_2015;CPI_score_2016;standard_error_2016;number_sources_2016;world_bank_CPIA;world_economic_forum_EOS;global_insight_country_risk_ratings;bertelsmann_foundation_transformation_index;african_development_bank_CPIA;IMD_world_competitiveness_yearbook;bertelsmann_foundation_sustainable_governance_index;world_justice_project_rule_of_law_index;PRS_international_country_risk_guide;varieties_of_democracy_project;economist_intelligence_unit_country_ratings;freedom_house_nations_in_transit_ratings;PERC_asia_risk_guide
United Kingdom;GBR;WE/EU;0;0;0;1;1;1;82;1.7;79;85;8;74;1.3;8;76;1.3;8;78;2.0899999142;7;81;2.4000000954;7;81;2.12;7;0;80;83;0;0;83;79;81;85;73;90;0;0
Germany;DEU;WE/EU;0;0;0;1;1;1;81;1.87;78;84;8;79;2.3;8;78;2.4;8;79;2.5799999237;7;81;2.5;7;81;2.73;7;0;74;83;0;0;85;79;78;85;76;90;0;0
Australia;AUS;AP;0;0;0;0;1;1;77;1.4;75;79;9;85;1.1;8;81;1.5;8;80;1.3099999428;8;79;1.5;8;79;1.27;8;0;82;71;0;0;81;79;78;76;75;72;0;83
Hong Kong;HKG;AP;0;0;0;0;0;0;77;2.37;73;81;7;77;1.9;8;75;2.4;8;74;2.75;7;75;2.4800000191;7;77;2.62;7;0;83;83;0;0;83;0;72;70;0;72;0;71
Iceland;ISL;WE/EU;0;0;0;0;0;1;77;4.38;70;84;7;82;4.1;6;78;2.8;6;79;3.1600000858;6;79;4.5300002098;5;78;3.81;6;0;83;83;0;0;84;53;0;85;77;72;0;0
Austria;AUT;WE/EU;0;0;0;1;0;1;75;1.17;73;77;8;69;2.4;8;69;3.2;8;72;3.4900000095;7;76;1.7599999905;7;75;1.36;7;0;72;71;0;0;75;79;80;76;74;72;0;0
Belgium;BEL;WE/EU;0;0;0;1;0;1;75;1.63;72;78;8;75;2.4;7;75;2.3;7;76;2.2599999905;7;77;1.3400000334;7;77;1.55;7;0;68;83;0;0;75;79;74;76;76;72;0;0
United States of America;USA;AME;0;0;0;0;1;1;75;3.24;70;80;9;73;4.1;9;73;4;9;74;3.7400000095;8;76;3.4700000286;8;74;3.15;9;0;71;71;0;0;75;88;73;76;74;90;0;57
Ireland;IRL;WE/EU;0;0;0;1;0;1;74;3.68;68;80;7;69;3.5;6;72;4.2;6;74;4.75;6;75;4.9200000763;6;73;4.31;6;0;79;71;0;0;85;79;0;76;72;55;0;0
Japan;JPN;AP;0;0;0;0;1;1;73;2.66;69;77;9;74;2.3;9;74;2.4;9;76;3.1600000858;8;75;2.9600000381;8;72;3.02;8;0;78;71;0;0;76;53;78;76;72;72;0;79
Estonia;EST;WE/EU;0;0;0;1;0;1;71;2.21;67;75;10;64;3;8;68;2.7;9;69;2.8900001049;9;70;2.7899999619;9;70;2.16;10;0;71;71;77;0;65;79;73;67;75;55;74;0
United Arab Emirates;ARE;MENA;0;1;0;0;0;0;71;6.26;61;81;7;68;4.3;7;69;4.7;7;70;5.1399998665;7;70;5.0700001717;7;66;5.7;7;0;95;47;57;0;87;0;72;67;0;72;0;0
France;FRA;WE/EU;0;0;0;1;1;1;70;1.36;68;72;8;71;2.4;8;71;2.4;8;69;2.1700000763;7;70;2.4900000095;7;69;2.97;7;0;69;71;0;0;73;62;70;73;73;72;0;0
Uruguay;URY;AME;0;0;0;0;0;0;70;2.67;66;74;7;72;1.5;6;73;1.4;6;73;1.4099999666;6;74;1.6799999475;6;71;2.68;6;0;61;59;77;0;0;0;70;76;74;72;0;0
Barbados;BRB;AME;0;0;0;0;0;0;68;3.24;63;73;3;76;6.7;3;75;7.1;3;74;8.0900001526;3;0;0;0;61;6.91;3;0;0;71;0;0;0;0;62;0;72;0;0;0
Bhutan;BTN;AP;0;0;0;0;0;0;67;1.83;64;70;5;63;3.6;3;63;2.6;4;65;1.8099999428;4;65;2.1400001049;4;65;2.12;5;60;67;71;69;0;0;0;0;0;67;0;0;0
Chile;CHL;AME;0;0;0;0;0;1;67;2.03;64;70;9;72;2.1;9;71;1.8;9;73;1.7400000095;8;70;2.1500000954;8;66;2.65;8;0;66;59;77;0;61;62;63;73;67;72;0;0
Bahamas;BHS;AME;0;0;0;0;0;0;65;5.39;56;74;3;71;1;3;71;1;3;71;0.9900000095;3;0;0;0;66;5.2;3;0;0;59;0;0;0;0;61;76;0;0;0;0
Portugal;PRT;WE/EU;0;0;0;1;0;1;63;2.56;59;67;8;63;2.5;7;62;3;7;63;3.3599998951;7;64;2.5;7;62;2.58;8;0;60;59;0;0;51;70;70;67;68;55;0;0
Qatar;QAT;MENA;0;1;0;0;0;0;63;7.5;51;75;7;68;6.4;6;68;7.2;6;69;7.2100000381;6;71;6.6300001144;6;61;7.02;7;0;94;47;41;0;78;0;0;64;44;72;0;0
Taiwan;TWN;AP;0;0;0;0;0;0;63;3.28;58;68;8;61;3.9;7;61;4.3;7;61;4.1700000763;7;62;3.7799999714;7;61;3.79;8;0;71;71;77;0;64;0;0;53;56;55;0;55
Brunei Darussalam;BRN;AP;0;0;0;0;0;0;62;8.72;48;76;3;55;9.1;3;60;10.4;3;0;0;0;0;0;0;58;8.85;3;0;69;71;0;0;0;0;0;44;0;0;0;0
Israel;ISR;MENA;0;0;0;0;0;1;62;2.19;58;66;7;60;2.9;5;61;1.6;6;60;2.3399999142;6;61;2.7799999714;6;64;2.27;6;0;70;59;0;0;60;62;0;59;69;55;0;0
Botswana;BWA;SSA;1;0;0;0;0;0;61;2.74;57;65;7;65;1.9;7;64;1.6;7;63;1.9299999475;6;63;2.3499999046;6;60;3.1;6;0;50;59;61;0;0;0;55;64;67;72;0;0
