"idviv","idhogar","idindivsp","isla","isla3","c_nuts4","urb_rur","tper","tama_hogar","num_adultos","tipo_hogar","ing_hog","edif","nhabit","superf","problem_luz","problem_got","problem_humed","problem_suc","problem_olor","problem_ruina","problem_def","tenencia","gasto_tenencia","tv","tva","tvb","tvc","tvd","tve","tlf_fijo","ordenador","ordenador_no","nordenador_a","nordenador_b","nordenador_c","internet","internet_noa","internet_nob","internet_noc","internet_nod","internet_noe","internet_nof","econo_sub1","econo_sub2","econo_sub3a","econo_sub3b","econo_sub3c","econo_sub3d","econo_sub3e","econo_sub3f","econo_sub3g","econo_sub3h","econo_sub3i","econo_sub3j","econo1a","econo1b","econo1c","econo1d","econo2a","econo2b","econo2c","econo2d","econo3","econo3a","econo4","econo4a","sexosp","edadsp","ecivilsp","naciodsp","extranjsp","lnacsp","cod_lnacsp","resIBsp","estudiossp","actividadsp","ingresos_1asp","ingresos_1bsp","ingresos_1csp","ingresos_1dsp","ingresos_1esp","ingresos_1fsp","ingresos_2asp","ingresos_2bsp","ingresos_2csp","ingresos_2dsp","ingresos_2esp","ingresos_2fsp","factor_h"
"105_03810","105038101","10503810101","1","1","040705","2",1,"1",1,"01","03","2",4,60,"1","6","6","1","6","6","6","3","02","1","1","6","6","6","6","6","6","2","-1","-1","-1","6","1","6","6","6","6","6","1",2000,"1","1","6","6","1","1","1","1","6","1","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",26,"1","2","228","3","228","7","02","1","1","6","6","6","6","6","4","-1","-1","-1","-1","-1",125.63065896
"105_03811","1050381111","105038111101","1","1","040705","2",3,"3",3,"05","04","3",5,60,"6","6","1","6","6","6","6","1","02","1","1","6","1","6","6","1","1","-1","1","0","0","1","-1","-1","-1","-1","-1","-1","3",3000,"1","6","6","6","6","1","1","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",62,"2","1","-1","2","11","50","03","1","1","6","6","6","6","6","3","-1","-1","-1","-1","-1",11.3
"105_03813","1050381311","105038131101","1","1","040705","2",3,"3",3,"05","05","2",7,95,"6","6","6","6","6","6","6","2","-1","1","1","6","6","6","6","1","6","1","-1","-1","-1","6","6","1","6","6","6","6","4",2500,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",69,"2","1","-1","1","-1","-1","03","3","6","6","1","6","6","6","-1","-1","2","-1","-1","-1",197.46731718
"105_03814","105038141","10503814101","1","1","040705","2",2,"2",2,"07","02","2",7,140,"6","6","1","6","6","6","6","5","-8","1","1","6","6","6","6","1","6","1","-1","-1","-1","6","6","1","6","6","6","6","3",2000,"6","6","6","6","6","1","1","1","6","6","1","6","6","6","-8","-1","-1","-1","6","-1","6","-1","1",72,"2","1","-1","1","-1","-1","04","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",17.534812901
"105_03818","105038181","10503818101","1","1","040705","2",3,"3",2,"03","05","3",4,100,"6","6","1","6","6","6","6","5","01","1","1","6","6","6","6","1","1","-1","1","0","0","6","6","6","6","1","6","1","2",3000,"6","6","6","6","6","1","1","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",41,"2","1","-1","1","-1","-1","03","1","1","6","6","6","6","6","4","-1","-1","-1","-1","-1",402.17781938
"105_03819","105038191","10503819102","1","1","040705","2",2,"2",2,"06","05","3",5,119,"6","6","6","1","6","6","6","1","03","1","1","6","6","6","6","1","1","-1","0","1","0","6","1","6","6","1","6","6","2",2500,"6","6","6","6","6","1","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","1",32,"2","1","-1","1","-1","-1","03","1","1","6","6","6","6","6","4","-1","-1","-1","-1","-1",168.96094844
"105_03823","105038231","10503823101","1","1","040705","2",1,"1",1,"01","03","3",3,80,"6","6","6","6","6","6","6","5","-8","1","1","6","6","6","6","6","1","-1","0","1","0","6","6","6","6","1","6","6","2",1500,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","1","-8","6","-1","1",24,"1","1","-1","1","-1","-1","07","1","1","6","6","6","6","6","4","-1","-1","-1","-1","-1",11.3
"105_03825","1050382521","105038252101","1","1","040705","2",2,"2",2,"06","-8","2",7,150,"6","6","1","6","6","6","6","2","-1","1","1","6","6","6","6","1","6","3","-1","-1","-1","6","6","6","6","6","1","6","2",3000,"6","6","6","6","6","1","6","6","6","1","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",59,"2","1","-1","1","-1","-1","03","3","6","6","6","6","6","6","-1","-1","-1","-1","-1","-1",35.557272004
"105_03828","1050382811","105038281101","1","1","040705","2",1,"1",1,"02","01","3",5,70,"6","6","1","6","6","1","6","2","-1","1","1","6","6","6","6","1","6","1","-1","-1","-1","6","6","6","6","6","1","6","3",1000,"1","6","6","6","6","1","6","1","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",82,"3","2","350","3","350","80","02","3","6","6","1","6","6","6","-1","-1","2","-1","-1","-1",117.91417129
"105_03829","1050382911","105038291101","1","1","040705","2",1,"1",1,"02","02","2",6,90,"6","6","1","1","6","6","6","2","-1","1","1","6","6","6","6","1","6","1","-1","-1","-1","6","6","6","6","6","1","1","4",1000,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","-1","-1","-1","-1","6","-1","6","-1","2",84,"1","1","-1","1","-1","-1","03","3","6","6","1","6","6","6","-1","-1","3","-1","-1","-1",117.91417129
