vcf	ndvi	leaf	albedo
37.875	0.6230304	32.56522	0.1377146
31.875	0.6530043	30.06522	0.1360333
33.625	0.6781043	32.65217	0.1374574
28.1875	0.6804478	31.65217	0.1349744
35.5625	0.7482044	39.69565	0.1383628
45.1875	0.7346565	40.54348	0.1434062
29.125	0.5749956	20.47826	0.1496393
4.5	0.4359174	11.54348	0.1665412
75.0625	0.7551522	42.23913	0.1263214
74.6875	0.7337435	43.26087	0.1302978
71.8125	0.7446348	42.5	0.1282761
70.5625	0.7687522	40.73913	0.1276448
72.9375	0.7449348	42.34783	0.1264164
73.5625	0.762987	40.52174	0.1234103
70.4375	0.7577522	41.8913	0.1244636
70.25	0.7660652	42.86956	0.1265583
72.25	0.7587565	43.93478	0.1290549
32.4375	0.7105609	38.15217	0.137293
40.5	0.7195087	37.15217	0.1323709
50.5625	0.6937044	35.15217	0.1280122
41.75	0.6532391	31.8913	0.130033
33.3125	0.6455609	31.5	0.1393736
27.375	0.6431478	32.54348	0.1432784
26	0.6357087	36.15217	0.1434045
24.1875	0.6877478	38.15217	0.1412042
18.875	0.7197043	42.8913	0.1423455
39.6875	0.776987	46.06522	0.1418048
42.0625	0.7218565	40.36956	0.14462
13.6875	0.4496	11.34783	0.1578147
76.0625	0.7978522	41.5	0.1287876
74.0625	0.7981913	43.71739	0.1283642
75.5625	0.7201043	37.80435	0.1250269
73.8125	0.7715435	39.93478	0.1209423
73.3125	0.7428434	40.91304	0.1251178
71.625	0.7666218	41.69565	0.1189773
75.4375	0.7686957	41.63044	0.1190208
73.5	0.7543043	39.32609	0.124
62.4375	0.7345739	40.54348	0.128758
56.9375	0.7071956	36.30435	0.1329579
42.1875	0.6166826	28.91304	0.1374686
38.5625	0.7174957	40.3913	0.1335905
44.3125	0.7334913	41.36956	0.1287115
36.5	0.6206608	30.73913	0.1282452
33.9375	0.6492	32.26087	0.1311193
32	0.6741913	34.30435	0.1335045
31.4375	0.6612565	31.84783	0.1351532
21.1875	0.679	20.08696	0.1433471
18.8125	0.6714826	17.41304	0.1448397
30.375	0.715887	40.26087	0.1464989
43.8125	0.7547957	43.73913	0.1408539
24.9375	0.5987478	22.41304	0.1456925
79.0625	0.7588652	37.86956	0.1249302
76.1875	0.7496435	39.80435	0.1247286
74.3125	0.7827565	43.13044	0.1288191
75.0625	0.7923957	40.3913	0.1292033
75.375	0.7714261	40.36956	0.1255657
72.9375	0.7783782	41.21739	0.1238068
71.6875	0.7655522	41.95652	0.1264426
72.9375	0.7585261	37.17391	0.1235379
65.875	0.7983261	46.47826	0.1282955
67	0.7411391	42.65217	0.1246951
56.375	0.6531391	33.23913	0.1239633
54.9375	0.6715652	31.04348	0.1276058
47.3125	0.6809782	31.84783	0.1331718
19.9375	0.6464696	20.06522	0.1447708
20.6875	0.6590261	30.80435	0.1458769
22.1875	0.6265565	30.78261	0.1383056
28.125	0.5982435	29.97826	0.1355139
30.625	0.6376522	30.73913	0.1399625
17.3125	0.6797174	20.76087	0.1480205
16.6875	0.6459348	16.5	0.1506996
23.8125	0.6719043	20.86957	0.1495299
31.8125	0.6576652	34.56522	0.1436136
39.625	0.5797479	28.26087	0.1481389
77.5	0.7522131	42.08696	0.1229581
77.125	0.7922435	42.41304	0.1241071
75.25	0.7938043	45.04348	0.1237976
75.6875	0.7964609	43.17391	0.1273066
75.375	0.7627696	43.36956	0.1260262
69.6875	0.7868087	44.5	0.1259738
72.375	0.778513	42.78261	0.1252306
72.9375	0.7709913	39.28261	0.1234564
71.8125	0.7457	38.04348	0.1252849
64.8125	0.7121826	38.52174	0.1252269
63.8125	0.7301522	40.58696	0.1280753
61.9375	0.6969304	35.21739	0.1247254
57.5625	0.6647956	31.45652	0.1240277
23.5625	0.657313	20.08696	0.1390492
15.9375	0.5927957	16.1087	0.1492392
10.3125	0.5931087	16.36957	0.1551625
14.125	0.6684261	31.3913	0.1501465
17.1875	0.6178218	17	0.14225
24.9375	0.6317782	18.30435	0.1467422
10.6875	0.5752609	13.71739	0.1606736
12.75	0.6279609	15.63043	0.1588055
12.875	0.6426609	14.67391	0.1547932
24.1875	0.6245391	30.28261	0.1510812
27.8125	0.6063392	30.32609	0.1490972
76.6875	0.7364131	38.67391	0.1252476
76.0625	0.7388391	42.15217	0.1223125
75.625	0.7755522	43.15217	0.1287335
77	0.7191522	42.56522	0.1290467
71.3125	0.7423478	40.76087	0.1263464
72.75	0.7834261	44.17391	0.1223292
67.8125	0.7515696	41.95652	0.1245341
73.75	0.7462087	40.73913	0.1249684
73.6875	0.7325261	36.93478	0.1217432
66.625	0.6466913	36.71739	0.1279951
60.8125	0.704187	41.02174	0.1300719
64.5625	0.6891565	39.6087	0.1342048
60.5625	0.7270739	41.30435	0.1338237
44	0.6916217	36.86956	0.1364242
13.0625	0.5894348	15.19565	0.1411136
8.75	0.5661044	14.41304	0.1478899
8.75	0.5949218	12.21739	0.1569428
7.0625	0.5578521	12.54348	0.1627488
9.5	0.5397043	15.54348	0.1676159
12.125	0.5405087	14.86957	0.1558688
11.5625	0.5983652	14.3913	0.1503111
19.1875	0.6410782	29.63043	0.1507333
30.125	0.6338043	31.86957	0.1485285
32.25	0.6214131	29.19565	0.1429293
75.9375	0.7183913	35.30435	0.1226495
75.75	0.7578609	35.97826	0.1228091
73.3125	0.7423	40.65217	0.1193419
70.625	0.7736826	40.93478	0.1287246
69.625	0.8059478	42.41304	0.1277643
72.5	0.7502652	42.67391	0.1240179
74.875	0.7541913	42.76087	0.1239619
72.875	0.7341087	43.23913	0.1246058
72.625	0.7570478	40.47826	0.1278388
64.6875	0.7528695	40.67391	0.137758
58.9375	0.7669696	41.63044	0.1457799
58.5625	0.7840695	44.17391	0.1445705
52.9375	0.7457174	42.04348	0.14116
58.75	0.7696522	43.80435	0.1396799
60.4375	0.6934609	42.02174	0.1385811
30.75	0.5768782	25.45652	0.1405536
11.4375	0.5906957	13.84783	0.147452
8.8125	0.6559435	16.21739	0.1469958
13.4375	0.6084	14.21739	0.1508447
15.4375	0.5403348	13.21739	0.1552013
14	0.5852304	15.32609	0.1521868
20.8125	0.5776913	15.52174	0.1487559
28.5625	0.6546783	31.47826	0.1490424
21.4375	0.6823435	34.23913	0.1523748
28.3125	0.6537913	29.91304	0.1454277
74.4375	0.7296087	40.76087	0.119739
72.5	0.7188957	35.8913	0.1199071
74.875	0.7358435	39.97826	0.1224945
74.375	0.7362435	37.91304	0.1264871
73.75	0.7291565	41.91304	0.1259845
74.3125	0.8034435	44.69565	0.1280738
69.4375	0.807013	48.91304	0.1262589
70.625	0.8102304	44.23913	0.1248814
75	0.7903565	40.84783	0.1242704
73.3125	0.7918304	43.23913	0.1263971
64.875	0.7948652	45.56522	0.1327547
61.625	0.7453348	43.69565	0.141301
58.6875	0.7397	42.73913	0.1431833
60.6875	0.7777348	44.04348	0.1458585
59.4375	0.7836174	45.63044	0.1405417
38.75	0.7437522	46.30435	0.1483571
25.9375	0.6945304	40.32609	0.156098
25.5625	0.7026391	36.52174	0.1551429
36.9375	0.6630957	35.67391	0.1536485
17	0.6116087	17.47826	0.1603315
16.4375	0.6476609	17.13043	0.1609244
14.0625	0.6203218	15.26087	0.1545234
12.3125	0.6040826	32.32609	0.1512619
13.875	0.6420087	19	0.1555549
16.875	0.6443739	17.73913	0.1619088
22.3125	0.6667305	32.19565	0.1506899
57.0625	0.7152218	36.45652	0.126158
75.375	0.7339044	40.06522	0.1200497
76.5	0.7289957	40.78261	0.1196294
75.4375	0.7646478	37.69565	0.1253973
73.9375	0.7433478	36.19565	0.1262497
73.1875	0.7913348	42.86956	0.125593
75.25	0.7753217	46.15217	0.1252179
65.625	0.7924696	43.21739	0.1261413
68.9375	0.7882304	41.02174	0.1267501
68.3125	0.7797391	41.52174	0.1242879
69.625	0.799587	42.71739	0.1206033
74.125	0.804813	46.6087	0.121501
73.0625	0.7550913	43.86956	0.1259285
68.625	0.7587131	44.91304	0.1326124
65	0.7702609	44.19565	0.1443798
61.375	0.7964435	45.3913	0.1450787
49.0625	0.7068565	37.58696	0.15141
20.9375	0.6323131	28.23913	0.1601107
14.9375	0.6755348	35.80435	0.162113
20.3125	0.7092348	39.32609	0.161869
14.9375	0.6108652	27.21739	0.1627885
14.0625	0.5839174	13.86957	0.1600474
11.1875	0.5720478	11.34783	0.1652633
14.9375	0.6049174	15.6087	0.1662318
11.9375	0.5937826	15.04348	0.1624462
12.9375	0.5921478	14.63043	0.1598657
18.9375	0.6001435	16.06522	0.1525702
18.5625	0.6812956	32.58696	0.1455944
52.75	0.7579348	38.86956	0.1253827
74.4375	0.7884348	40.65217	0.1195625
75.0625	0.7788174	44.19565	0.1224851
72.0625	0.7686782	44.02174	0.1234199
75.25	0.764387	44.67391	0.1218719
72.625	0.781387	45.84783	0.1233857
69.0625	0.7953565	42.84783	0.1256429
64.0625	0.7638261	45.23913	0.1277324
51.5625	0.6963609	39.5	0.1248999
58.625	0.7251826	39.6087	0.1182885
53.5	0.7238348	41.08696	0.1165076
64.4375	0.7409348	39.86956	0.1168253
60.625	0.7243652	42.67391	0.1202995
59.875	0.7614826	43.65217	0.1299745
54.625	0.7827218	44.34783	0.131408
57.375	0.7763044	44.78261	0.1392405
54.875	0.693387	40.69565	0.1449679
44.125	0.7076261	38.52174	0.1459369
39.375	0.7379217	39.82609	0.1470397
27.4375	0.6814783	36.73913	0.1498025
52.4375	0.6781261	18	0.1450112
33.4375	0.6066913	16.71739	0.1486448
23.3125	0.6233435	17.45652	0.1577543
21.1875	0.6058609	14.67391	0.1546004
10.8125	0.574087	21.36957	0.1335312
8.8125	0.6031	25.32609	0.1297083
53.9375	0.7259305	39.23913	0.1239264
75.125	0.7681217	44.67391	0.1199543
74.6875	0.7975522	43.15217	0.1189567
68.875	0.7788609	38.71739	0.1197726
54.25	0.7609826	40.34783	0.1217173
33.875	0.7796261	42.08696	0.1215513
57.1875	0.7095174	41.67391	0.122065
53.4375	0.7071826	37.97826	0.1239107
40.75	0.7141391	37.41304	0.1224601
70.1875	0.6814131	37.3913	0.1195577
69.625	0.6698608	34	0.1170549
63.6875	0.7267652	37.34783	0.123312
61.6875	0.7039782	41	0.128861
26.6875	0.7142783	22.67391	0.1357915
23.0625	0.7558652	22.26087	0.1430624
26.0625	0.7550478	23.41304	0.1458608
27.75	0.7255304	37.78261	0.145945
20.9375	0.6805304	18.08696	0.1478155
19.5625	0.6794609	38.67391	0.149109
31.5625	0.7254696	45.02174	0.1441375
36.25	0.7175217	22.58696	0.1429838
50.375	0.7225261	20.23913	0.1369864
49.5	0.6467826	18.34783	0.1396525
27.3125	0.5644522	12.86957	0.1310312
14.5625	0.5240695	17.34783	0.1372833
44.625	0.7460174	37.19565	0.1342299
74.0625	0.7620261	41.52174	0.120657
77.5625	0.7644305	42.76087	0.1179112
76.6875	0.7808348	43.3913	0.1150398
69.375	0.7491783	43.06522	0.1143542
66.25	0.7202391	38.95652	0.1220322
63.5	0.725787	39.36956	0.12915
64.1875	0.7118	40.43478	0.1238338
61.3125	0.7021217	38.80435	0.1224822
67.6875	0.7257652	40.15217	0.124006
64.25	0.7117348	38.71739	0.126146
55.25	0.6983	41.52174	0.1252199
29.375	0.6571609	20.45652	0.132325
38	0.6753044	17.17391	0.1346737
48.5	0.6780261	17.65217	0.1370931
41.4375	0.6845391	16.80435	0.1371436
48.9375	0.6909565	18.95652	0.1357019
40.25	0.6374652	17.30435	0.1355454
31.25	0.6395174	16.54348	0.1400394
17.875	0.6442043	17.52174	0.1490189
13.875	0.6389956	17.67391	0.1523625
16.4375	0.6895956	34.67391	0.1497743
28.1875	0.7357391	42.67391	0.1521303
69.5625	0.7182478	39.32609	0.1192247
69.125	0.6112696	28.43478	0.1192296
61.6875	0.7238783	37.21739	0.1235
50.375	0.7297435	36.65217	0.1266227
36.875	0.733413	43.43478	0.1359205
40.375	0.7502869	40.28261	0.137823
35.0625	0.7098435	35.54348	0.1361023
62.875	0.7216043	40.8913	0.1287228
58.4375	0.718913	37.86956	0.1277803
